steps	avg_reward	std_reward
181	-1572.1700856975797	70.03012257142753
182	-1550.1139979454256	106.13532030136504
183	-1575.0080908045263	86.74040148070262
184	-1578.478455755316	95.23271241753181
185	-1575.9280714318672	63.38883404329946
186	-1552.2087915263767	110.00711982692454
187	-1596.7211043405778	47.27681173656238
188	-1579.5106195488659	47.86062475550113
189	-1596.7950281728565	79.70115773502856
190	-1504.6123721915667	102.7309867710009
191	-1590.649689635336	85.97003272221082
192	-1542.7361010701143	116.53809774958759
193	-1589.5108984001306	90.88900297689239
194	-1583.9391866586918	75.34934246006956
195	-1596.1341312714637	66.3314986257081
196	-1571.2890299362289	85.89308544081295
197	-1573.426139672404	106.94829067280025
198	-1571.6864647584596	104.99617522687345
199	-1561.1909768823982	111.95517033579729
200	-1581.6092812498566	81.20996358150032
201	-1604.6431603169774	59.62569435000515
202	-1573.932278522284	105.95271442141912
203	-1593.2989286651793	72.39461761353817
204	-1588.0440990753734	67.12716275469892
205	-1570.5245391041608	127.31477017744871
206	-1620.3158706321483	66.30194068565052
207	-1606.870490804725	97.42474057009618
208	-1632.1951631591683	64.2655864008725
209	-1582.5739473183908	116.54217736801884
210	-1645.3124314647257	66.44848500178651
211	-1621.8219614236316	104.6687152910611
212	-1633.7665366040806	81.17176524195281
213	-1627.968383748464	83.79267013295559
214	-1654.0782061176415	86.3581797993463
215	-1607.614136491604	75.07038211158144
216	-1624.6885525114972	71.79673553391046
217	-1617.9504716168876	88.18671016980466
218	-1617.7668390564338	88.60400982912667
219	-1609.7125335568742	91.85645983118621
220	-1628.853993869078	85.02745046042472
221	-1609.4695557335883	76.38298334886662
222	-1622.8054707689266	94.48876540938433
223	-1584.078155897162	105.7388481510631
224	-1591.993232376474	92.38888650975173
225	-1585.2460747909563	109.67871509911508
226	-1582.9487361419938	117.52809181826701
227	-1608.0644075848322	94.19786555901021
228	-1628.3283629734226	86.30376094743279
229	-1604.5313444234628	109.75831546602983
230	-1614.88180715342	95.78191391087208
231	-1617.910853619024	80.65511653407685
232	-1621.8665486459902	84.94645968357213
233	-1618.5398574015062	121.7168859207573
234	-1559.1658233310413	152.60373661266314
235	-1583.615841862891	139.79047666250787
236	-1555.8027972973143	134.32690119605422
237	-1531.3626486731728	161.61741580887204
238	-1518.0336193751473	181.52323198631544
239	-1591.139331047871	124.62925807280455
240	-1582.2010202227186	170.61836659739163
241	-1611.0539845957692	126.98825108076821
242	-1562.912727492848	151.60990995150985
243	-1614.8793336815243	135.56421351455123
244	-1611.1446159866155	142.70806837507175
245	-1574.2695911786313	150.55159557466476
246	-1644.873365676026	117.48439438477484
247	-1581.06099191819	174.76243911928725
248	-1535.6171086651657	175.54131634080522
249	-1638.7595305275543	127.49966530159678
250	-1608.649899898241	170.1444455055774
251	-1596.2032221904497	140.9089405717111
252	-1513.8161907014476	177.31012738354005
253	-1561.0521959949735	173.68845898002488
254	-1635.1552681641876	176.20781333056198
255	-1546.1451846248904	180.9143052299495
256	-1558.2878642917215	200.82439813998468
257	-1589.3245117593551	196.73307631029107
258	-1627.237806374801	151.57747588082503
259	-1525.5709927586497	186.97878271043828
260	-1576.390826025251	150.62934387348494
261	-1590.0029004066587	168.61654684216882
262	-1609.107713811677	130.0482139902215
263	-1638.735910569671	114.55493728453719
264	-1649.9305829808147	121.3331648352003
265	-1641.685947845901	141.22047680680143
266	-1630.7119851886018	113.97495568406322
267	-1654.4257538300162	123.40388487271207
268	-1635.915254824533	141.29946201268746
269	-1672.428626125282	118.9743738212735
270	-1635.5723692183738	173.11079304450996
271	-1604.166369895743	176.72563531528095
272	-1657.4670991982782	129.60947504566752
273	-1623.7479726080978	154.0130879459627
274	-1624.6941342442226	137.57908878822374
275	-1608.8829255459816	138.40651979865478
276	-1591.30974865008	147.57091356871047
277	-1633.4838417714473	128.20369573940943
278	-1646.1917622937535	132.3804844496441
279	-1603.4835810470586	133.8399629738502
280	-1571.4886286810756	143.67093416286585
281	-1596.857191056429	147.9443147748091
282	-1609.1796045197802	144.17648912446495
283	-1593.95079331777	117.79963355296266
284	-1620.3064055838609	153.61527595084186
285	-1643.5474858136783	146.8787694250796
286	-1615.7093622677112	148.53666975901783
287	-1599.4428582446237	113.09515963973743
288	-1621.8774729272309	143.25301741306038
289	-1597.5917250765165	146.9573707658678
290	-1607.1447724383063	144.92519668726055
291	-1610.0957427695967	127.28517031718751
292	-1570.1162127592181	143.84181176121362
293	-1599.6697194304097	137.36551522141704
294	-1599.2621227642067	160.6236014250861
295	-1598.2349966273168	129.45125833737015
296	-1607.901369625364	154.54044196902285
297	-1577.0360371901968	160.20597887131788
298	-1598.065746400395	135.12659822789576
299	-1628.3959357134547	141.10422584559794
300	-1591.476370612775	128.95917420082984
301	-1572.1493957039538	145.30909463221064
302	-1549.8671571551738	194.41405202667522
303	-1590.6407353419577	143.26187932951603
304	-1564.1108370509749	151.82910208334263
305	-1566.3912140792622	120.10244592071645
306	-1558.1011102677335	165.58545747979613
307	-1618.7399127525891	152.05166787057334
308	-1532.1870821354719	166.38074733936665
309	-1570.5121919178835	144.85362707010842
310	-1602.2832867760062	156.8147341882654
311	-1565.5990869351972	144.82802843088388
312	-1581.8595481463794	143.66938661093994
313	-1587.667139095959	131.6069055869985
314	-1553.2374833241756	130.18950717865286
315	-1540.3597232728657	145.85847495378084
316	-1501.4152613025117	161.66522105410925
317	-1514.549453896749	162.08413489553405
318	-1513.8222625881485	145.1307351623749
319	-1437.348906405455	201.7282070867992
320	-1489.1237482040442	160.23925166264485
321	-1445.9526842972234	151.62849322073455
322	-1512.3461744546037	199.1834133263897
323	-1484.6537806437816	218.45252518227005
324	-1552.9472056227016	109.83417585822227
325	-1511.1046827323173	135.27076079012144
326	-1465.5843788004784	157.9594565571594
327	-1436.1359412465554	190.88983314569893
328	-1455.4339550034647	171.7774494639491
329	-1448.1000950291675	192.6361225069083
330	-1520.8563720589134	132.5165687959411
331	-1458.2400976261079	202.46409935029675
332	-1431.0513949726112	148.81743567532055
333	-1487.2978314088402	196.5426300076742
334	-1468.0579077949326	189.92284704974904
335	-1423.498048446401	178.4532012924441
336	-1468.1463134495796	141.00007972089537
337	-1506.3585212620321	119.42003078844903
338	-1487.6401462562492	140.94512051939213
339	-1532.5153815778488	109.46952273068491
340	-1502.8285366046111	133.73347912254482
341	-1488.8105265413408	114.25944253372143
342	-1511.485493975891	114.99282175087093
343	-1532.0775477961733	98.46125125846726
344	-1528.0232677085098	90.2428628397265
345	-1524.8053635273181	103.95887853231305
346	-1510.7147464598395	97.24296680194487
347	-1539.4210525549042	107.00117805291536
348	-1483.296848443032	80.75411398206215
349	-1540.4740142052501	100.59733280067033
350	-1502.102249706186	81.27266510772019
351	-1524.5553461665006	98.0036671429981
352	-1488.9763594998897	76.89636099655829
353	-1523.2151593817125	72.86972267028132
354	-1539.8638596833014	110.79745489833545
355	-1537.4996289439669	93.98706954038309
356	-1542.1693205541524	110.36370920183641
357	-1510.6122944510714	82.80136805781314
358	-1529.9392251586555	96.93702105660466
359	-1541.2009672226757	92.74764022538591
360	-1557.4193336588144	88.69328104719916
361	-1544.1704024248868	82.48324242331793
362	-1538.008843924602	107.97685216326646
363	-1531.6909479536348	94.96037654312303
364	-1533.0753413096963	98.06991097092599
365	-1514.259797778104	102.6180657689302
366	-1516.139836657814	103.84926789707048
367	-1534.9019543780416	94.43005889066897
368	-1561.1627273787299	69.8103240488844
369	-1505.8838200075154	87.49838041956987
370	-1521.4512363110102	98.02249997667275
371	-1513.6159818485414	110.26572524674596
372	-1530.5474495455874	115.02368881432928
373	-1469.2678576994272	142.4391219415837
374	-1527.9061803567074	131.8323115891561
375	-1479.205876470565	124.72672823083573
376	-1502.776372657404	122.14756691022872
377	-1469.3224265658655	147.83022224352695
378	-1528.357496812966	158.39831893897053
379	-1477.4323148778037	147.7664928891604
380	-1410.9985931508493	183.12648171738456
381	-1389.5701694921815	213.01594854003534
382	-1397.680772514831	206.16859668994186
383	-1478.6337125218697	177.73936074313204
384	-1437.0133486791694	201.96989663898648
385	-1458.1211530795863	150.82033414284734
386	-1477.2653299173307	133.21911822704308
387	-1534.11425952588	155.53383832548633
388	-1584.6910208312838	101.43951008755074
389	-1546.876392482791	130.0751965775673
390	-1568.9144894365897	148.51656920153903
391	-1606.4070397440735	138.67933746345415
392	-1541.3721122186014	161.02457834054587
393	-1560.3201690131984	165.15474308611113
394	-1523.1746376606416	205.10334429609853
395	-1517.7821690744659	215.3109880787969
396	-1577.7551449773196	198.96889130664917
397	-1651.0859804290071	161.69492363351418
398	-1581.9220298076991	220.44861455042246
399	-1617.040926197424	206.8658705393076
400	-1566.3784327697313	214.55246297029683
401	-1523.9009974654512	219.6073973066005
402	-1625.3050066314627	198.08454909115514
403	-1578.2907982507022	201.94035537462133
404	-1626.8297520065948	190.81131641194443
405	-1523.8544835851355	196.19350634133147
406	-1559.8839071324014	271.2744259827863
407	-1631.063367464448	146.2966598401525
408	-1544.900153617436	228.9947919818588
409	-1617.5472781445094	217.62952122534267
410	-1609.2170527615572	222.8082534414829
411	-1651.943779751408	164.46420118965202
412	-1564.5667383234777	238.64153721820554
413	-1611.1218266420783	203.33549804169763
414	-1595.9220504644413	205.15765918238034
415	-1630.4998587060234	177.24677251172005
416	-1504.2223356260126	267.55255547481084
417	-1602.9022007243102	202.0246699666745
418	-1605.9000507771839	172.89788630488235
419	-1545.8526290753064	258.0767380747026
420	-1646.8027190935754	157.58490734254508
421	-1608.6161948417869	201.72765029144023
422	-1603.7563996666713	216.25533876417092
423	-1624.3038712570333	174.52779931492336
424	-1556.1165953472682	196.6921199794446
425	-1573.6872862786552	200.28749528643027
426	-1600.830101668738	189.19850462856823
427	-1629.7475146101754	134.6324847786015
428	-1515.8839785617702	280.5919353923953
429	-1561.2201169407008	240.98463576607227
430	-1645.6062588384534	143.04454208296022
431	-1501.646091214726	257.56382548424347
432	-1579.0027977585203	248.00756986960306
433	-1609.3812571932483	237.14909146433618
434	-1615.8297990895203	232.00231731734996
435	-1638.6517732382736	170.44957253442757
436	-1606.7087416410418	201.6150254655135
437	-1556.4451057752303	222.74817859180803
438	-1573.6786343800056	225.41711621218667
439	-1567.5169788037133	228.17254176115327
440	-1629.8428782924539	175.3518130154033
441	-1640.851839852302	182.90840218046313
442	-1565.0412084986956	253.31578683961718
443	-1586.7387690098487	218.83657628239067
444	-1564.151895070416	249.38891481666167
445	-1633.096354096464	153.704723320931
446	-1634.6476848763186	196.22654632891286
447	-1586.0455812146026	193.1231293633214
448	-1653.6164218842405	183.73359356140008
449	-1491.0878098208125	250.5000544170446
450	-1615.3680463236933	186.26682249073167
451	-1548.888706266835	263.39325035279336
452	-1538.5671816230033	243.73813062583696
453	-1532.4932984557202	227.66516536327512
454	-1600.964049264909	151.12354021025482
455	-1583.3271096721562	190.77611810442468
456	-1575.0166240487024	229.4044939193572
457	-1661.4986657344145	126.26276635403019
458	-1600.920992120766	197.60367380706344
459	-1602.1150413876894	207.3750218739624
460	-1527.3183379667105	279.4940610012538
461	-1566.5449189399621	206.9799193432335
462	-1538.4118169709348	248.85456396075435
463	-1496.9218628066085	268.0373487938488
464	-1569.5522864875913	236.1669085162312
