steps	avg_reward	std_reward
127	-1325.3230384360797	168.0011967680244
128	-1400.8072633809431	103.97317162528375
129	-1430.4245071256962	77.93851352674481
130	-1376.2322083309589	103.95070352393752
131	-1414.3057386679338	73.31096889420417
132	-1391.3931757076543	79.33585194047774
133	-1403.8817226008082	87.35654824496687
134	-1397.7286672619616	102.0943215810071
135	-1436.2043262961788	50.32202618600256
136	-1442.7249672225264	73.15463480149047
137	-1432.166189677635	63.62994693192149
138	-1441.5331092944166	74.19638434810915
139	-1431.1031196989973	70.1192069259474
140	-1451.6049706410274	64.60711067576564
141	-1436.0025247487574	90.34435078965706
142	-1430.3821042403765	92.81397162980566
143	-1381.8883435090672	105.82263129904884
144	-1436.403434122186	78.84896141875495
145	-1394.6266094229168	104.0218515110497
146	-1405.34295384387	110.25731015814483
147	-1391.6182824984471	78.31854741289054
148	-1423.848275920082	108.57077383529078
149	-1351.5504156264662	135.3840336881928
150	-1378.018235966927	108.82522749351074
151	-1422.3278625118164	80.85673807866014
152	-1345.305739704382	115.07535372141359
153	-1350.5769152676721	179.24179986705127
154	-1397.2560848067899	98.90321200355129
155	-1334.9823548041618	147.80430086787683
156	-1327.5069041006925	173.66813652783497
157	-1405.5073207418982	107.88221825191488
158	-1315.701827111688	176.3562778063673
159	-1365.9574074884686	145.3219029850233
160	-1306.370196800171	145.57052477717048
161	-1338.4333621556545	137.02980447344328
162	-1294.0570284012879	184.4481255613843
163	-1273.726394629386	173.68036086896407
164	-1297.1287720416287	157.3665127323654
165	-1299.8224440820024	143.05254615997762
166	-1288.382891097929	181.2999737698851
167	-1349.394221928037	150.56534697209813
168	-1290.5519086879715	147.7978041083617
169	-1376.3119788008037	178.78764016226356
170	-1257.956799735488	194.61627587520113
171	-1256.7249037658842	209.53481463027015
172	-1320.3269591000624	173.81546512429782
173	-1313.6833956263858	204.60409581901152
174	-1367.8554069462873	180.39679220731378
175	-1373.7290298944486	136.5065857976782
176	-1339.7527678383653	190.69138998369027
177	-1363.3339233254371	148.59695537927703
178	-1357.8486670298753	179.79110188020695
179	-1362.5898575009796	133.19784466412108
180	-1420.29245572856	118.6707747767824
181	-1424.0559080483713	150.99449352548766
182	-1408.7739974249741	121.9415459166455
183	-1398.65278716183	170.90463008287531
184	-1395.7375763083546	136.1389263539609
185	-1383.1276829070512	145.0070795743373
186	-1429.421439366849	119.69370166934223
187	-1405.6123851360776	115.61296200169383
188	-1383.480606843902	131.74119420565404
189	-1434.4596727251555	128.18281395085688
190	-1459.3494773139319	114.05351596417376
191	-1484.6596269746512	125.6472033958221
192	-1448.2151173455213	116.19007632183033
193	-1435.501641169897	116.25836988632709
194	-1435.0282479255775	104.7968289403222
195	-1508.4438743625071	131.83913846907902
196	-1414.4314181680002	95.71131710571542
197	-1469.2425373523292	121.50119023877546
198	-1442.6900926655007	136.73482936178016
199	-1398.3992229933626	147.87918002381102
200	-1391.5136108572688	121.90937173152999
201	-1343.7217800259466	144.0852815233587
202	-1306.4503082317674	179.38352567759924
203	-1368.0138062025344	134.90343953028554
204	-1344.034855127447	159.44199359403848
205	-1366.159537379452	174.09506050673588
206	-1302.3160039553752	147.02169179458554
207	-1324.4351020753334	158.9788012330719
208	-1302.3811350338917	158.2684609602836
209	-1255.9410578294217	147.77205262390115
210	-1183.0183126631964	126.94685674751223
211	-1189.8348220284943	188.87810028386932
212	-1187.3693940633177	210.76137283902705
213	-1097.2170689745	183.1966371083115
214	-1064.2200100222517	161.53944023168344
215	-1052.0331528347258	185.1223849189671
